id,title_english,title_original,director,country,winner,festival,year_festival,link_film,link_director
0,Adieu Bonaparte,وداعا بونابرت,Youssef Chahine,Egypt,0,cannes,1985,https://en.wikipedia.org/wiki/Adieu_Bonaparte,https://en.wikipedia.org/wiki/Youssef_Chahine
1,Birdy,N/A,Alan Parker,United States,0,cannes,1985,https://en.wikipedia.org/wiki/Birdy_(film),https://en.wikipedia.org/wiki/Alan_Parker
2,Bliss,N/A,Ray Lawrence,Australia,0,cannes,1985,https://en.wikipedia.org/wiki/Bliss_(1985_film),https://en.wikipedia.org/wiki/Ray_Lawrence_(film_director)
3,Chicken with Vinegar,Poulet au vinaigre,Claude Chabrol,France,0,cannes,1985,https://en.wikipedia.org/wiki/Chicken_with_Vinegar,https://en.wikipedia.org/wiki/Claude_Chabrol
4,The Coca-Cola Kid,N/A,Dušan Makavejev,Australia,0,cannes,1985,https://en.wikipedia.org/wiki/The_Coca-Cola_Kid,https://en.wikipedia.org/wiki/Du%C5%A1an_Makavejev
5,Colonel Redl,Oberst Redl,István Szabó,Hungary,0,cannes,1985,https://en.wikipedia.org/wiki/Colonel_Redl,https://en.wikipedia.org/wiki/Istv%C3%A1n_Szab%C3%B3
6,Derborence,N/A,Francis Reusser,Switzerland,0,cannes,1985,https://en.wikipedia.org/wiki/Derborence_(film),https://en.wikipedia.org/wiki/Francis_Reusser
7,Détective,Détective,Jean-Luc Godard,France,0,cannes,1985,https://en.wikipedia.org/wiki/D%C3%A9tective_(1985_film),https://en.wikipedia.org/wiki/Jean-Luc_Godard
8,Farewell to the Ark,さらば箱舟,Shūji Terayama,Japan,0,cannes,1985,https://en.wikipedia.org/wiki/Farewell_to_the_Ark,https://en.wikipedia.org/wiki/Sh%C5%ABji_Terayama
9,Insignificance,N/A,Nicolas Roeg,United Kingdom,0,cannes,1985,https://en.wikipedia.org/wiki/Insignificance_(film),https://en.wikipedia.org/wiki/Nicolas_Roeg
10,Joshua Then and Now,N/A,Ted Kotcheff,Canada,0,cannes,1985,https://en.wikipedia.org/wiki/Joshua_Then_and_Now_(film),https://en.wikipedia.org/wiki/Ted_Kotcheff
11,Kiss of the Spider Woman,O Beijo da Mulher Aranha,Héctor Babenco,Brazil,0,cannes,1985,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(film),https://en.wikipedia.org/wiki/H%C3%A9ctor_Babenco
12,The Official Story,La historia oficial,Luis Puenzo,Argentina,0,cannes,1985,https://en.wikipedia.org/wiki/The_Official_Story,https://en.wikipedia.org/wiki/Luis_Puenzo
13,Madman at War,Scemo di guerra,Dino Risi,Italy,0,cannes,1985,https://en.wikipedia.org/wiki/Madman_at_War,https://en.wikipedia.org/wiki/Dino_Risi
14,Mask,N/A,Peter Bogdanovich,United States,0,cannes,1985,https://en.wikipedia.org/wiki/Mask_(1985_film),https://en.wikipedia.org/wiki/Peter_Bogdanovich
15,Mishima: A Life in Four Chapters,N/A,Paul Schrader,United States,0,cannes,1985,https://en.wikipedia.org/wiki/Mishima:_A_Life_in_Four_Chapters,https://en.wikipedia.org/wiki/Paul_Schrader
16,Pale Rider,N/A,Clint Eastwood,United States,0,cannes,1985,https://en.wikipedia.org/wiki/Pale_Rider,https://en.wikipedia.org/wiki/Clint_Eastwood
17,Rendez-vous,N/A,André Téchiné,France,0,cannes,1985,https://en.wikipedia.org/wiki/Rendez-vous_(film),https://en.wikipedia.org/wiki/Andr%C3%A9_T%C3%A9chin%C3%A9
