id,title_english,title_original,director,country,winner,festival,year_festival,link_film,link_director,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,InternetMovieDatabaseRating,RottenTomatoesRating,MetacriticRating,Error,totalSeasons,Ratings
0,Adieu Bonaparte,وداعا بونابرت,Youssef Chahine,Egypt,0,cannes,1985,https://en.wikipedia.org/wiki/Adieu_Bonaparte,https://en.wikipedia.org/wiki/Youssef_Chahine,Adieu Bonaparte,1985,N/A,17 May 1985,115 min,"Drama, History, War",Youssef Chahine,"Youssef Chahine, Yusri Nasrullah","Michel Piccoli, Mohsen Mohieddin, Patrice Chéreau, Mohamad Atef","A story during the French Occupation of Egypt (1797-1803), depicting the conflict between tradintion and modernization in the context of fighting the French invadors.","French, Arabic","Egypt, France",1 nomination.,https://m.media-amazon.com/images/M/MV5BYWRjOTNhNDQtY2M4OS00YzM0LWI5NTctNzU1ZWI2ZmRjODRhXkEyXkFqcGdeQXVyMzI4MTk3MTY@._V1_SX300.jpg,N/A,6.4,236,tt0088383,movie,N/A,N/A,N/A,N/A,True,6.4/10,N/A,N/A,,,
1,Birdy,N/A,Alan Parker,United States,0,cannes,1985,https://en.wikipedia.org/wiki/Birdy_(film),https://en.wikipedia.org/wiki/Alan_Parker,Birdy,1984,R,21 Dec 1984,120 min,"Drama, War",Alan Parker,"William Wharton (based on the novel by), Sandy Kroopf (screenplay), Jack Behr (screenplay)","Matthew Modine, Nicolas Cage, John Harkins, Sandy Baron","Philly boys Al and Birdy became friends in high school despite the extreme difference in their personalities, Al being the popular and athletic extrovert, Birdy the antisocial ""weird"" introvert. Al gave Birdy his nickname because of his fascination - obsession really - with birds, especially with flight. Al and Birdy have just completed their service of duty in the Vietnam War and have returned to the States. Al sustained some serious physical injuries, which required major reconstructive surgery to his face. Birdy, however, returned from Vietnam seemingly emotionally scarred. He was missing in action for one month. He has not spoken since he was found. Despite his own medical issues, Al travels to the institution where Birdy is being kept to see if he can assist in getting Birdy out of his near comatose state. Having always had issues with authority, Al is less than forthright with the doctors about Birdy's mental state prior to the war. As Al tries whatever he can to help Birdy using tools from their shared history prior to the war, he deals with his own post-war mental state.",English,USA,3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNTVmZmQ3NzgtNDhlNi00NDY2LWFhN2YtMDRhOGY0M2U3ZTc4XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,N/A,7.3,"20,318",tt0086969,movie,15 Feb 2000,N/A,Sony Pictures Home Entertainment,N/A,True,7.3/10,85%,N/A,,,
2,Bliss,N/A,Ray Lawrence,Australia,0,cannes,1985,https://en.wikipedia.org/wiki/Bliss_(1985_film),https://en.wikipedia.org/wiki/Ray_Lawrence_(film_director),Bliss,1985,R,21 Feb 1986,112 min,"Comedy, Drama",Ray Lawrence,"Ray Lawrence (screenplay), Peter Carey (screenplay), Peter Carey (novel)","Barry Otto, Lynette Curran, Helen Jones, Miles Buchanan","An advertising executive dies and goes to hell... except nothing changes. Well, his daughter is buying drugs with sexual favours from her brother, and the number of cancer-causing products is on the increase. But the notes he writes to himself to prove he hasn't gone insane are getting more disjointed, and he runs off with an ex-prostitute called Honey Barbera.",English,Australia,4 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BZWQ0MmRiOGUtYzFmMy00ZTI1LWIzZjgtODlkOTFkYzVkZGM5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,N/A,6.9,"1,181",tt0088821,movie,N/A,N/A,Starmaker Entertainment,N/A,True,6.9/10,N/A,N/A,,,
3,Chicken with Vinegar,Poulet au vinaigre,Claude Chabrol,France,0,cannes,1985,https://en.wikipedia.org/wiki/Chicken_with_Vinegar,https://en.wikipedia.org/wiki/Claude_Chabrol,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Movie not found!,,
4,The Coca-Cola Kid,N/A,Dušan Makavejev,Australia,0,cannes,1985,https://en.wikipedia.org/wiki/The_Coca-Cola_Kid,https://en.wikipedia.org/wiki/Du%C5%A1an_Makavejev,The Coca-Cola Kid,1985,R,14 Jul 1985,98 min,"Comedy, Drama",Dusan Makavejev,"Frank Moorhouse (screenplay by), Denny Lawrence (additional dialogue), Frank Moorhouse (screenplay based on short stories by)","Eric Roberts, Greta Scacchi, Bill Kerr, Chris Haywood","An eccentric marketing guru visits a Coca-Cola subsidiary in Australia to try and increase market penetration. He finds zero penetration in a valley owned by an old man who makes his own soft drinks, and visits the valley to see why. After ""the Kid's"" persistence is tested he's given a tour of the man's plant, and they begin talking of a joint venture. Things get more complicated when the Coca-Cola man begins falling in love with his temporary secretary, who seems to have connections to the valley.",English,Australia,8 nominations.,https://m.media-amazon.com/images/M/MV5BMTYwODE2NzI1M15BMl5BanBnXkFtZTgwNDI4MzkwMzE@._V1_SX300.jpg,N/A,6.0,"2,676",tt0088931,movie,16 Apr 2002,N/A,Cinecom Pictures,N/A,True,6.0/10,44%,N/A,,,
5,Colonel Redl,Oberst Redl,István Szabó,Hungary,0,cannes,1985,https://en.wikipedia.org/wiki/Colonel_Redl,https://en.wikipedia.org/wiki/Istv%C3%A1n_Szab%C3%B3,Colonel Redl,1985,R,04 Oct 1985,144 min,"Biography, Drama, History",István Szabó,"István Szabó (screenplay), Péter Dobai (screenplay), John Osborne (inspired by)","Klaus Maria Brandauer, Hans Christian Blech, Armin Mueller-Stahl, Gudrun Landgrebe","Set during the fading glory of the Austro-Hungarian empire, the film tells of the rise and fall of Alfred Redl (Brandauer), an ambitious young officer who proceeds up the ladder to become head of the Secret Police only to become ensnared in political deception.",German,"Yugoslavia, Hungary, Austria, West Germany",Nominated for 1 Oscar. Another 5 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTI5NTk3MjgxNF5BMl5BanBnXkFtZTcwMzAzMzMzMQ@@._V1_SX300.jpg,N/A,7.6,"2,465",tt0089716,movie,26 Jun 2001,N/A,N/A,N/A,True,7.6/10,N/A,N/A,,,
6,Derborence,N/A,Francis Reusser,Switzerland,0,cannes,1985,https://en.wikipedia.org/wiki/Derborence_(film),https://en.wikipedia.org/wiki/Francis_Reusser,Derborence,1985,N/A,27 Apr 1985,94 min,Drama,Francis Reusser,"Jacques Baynac, Christiane Grimm (adaptation), Charles Ferdinand Ramuz (novel), Francis Reusser","Isabel Otero, Jacques Penot, Maria Machado, Jean-Marc Bory",N/A,French,"Switzerland, France",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNTBmYzliM2UtMTZlZS00YTllLWJiNzEtMDk0OWI2YjE0NjEwXkEyXkFqcGdeQXVyNzM0OTIzNDk@._V1_SX300.jpg,N/A,6.4,25,tt0089014,movie,N/A,N/A,N/A,N/A,True,6.4/10,N/A,N/A,,,
7,Détective,Détective,Jean-Luc Godard,France,0,cannes,1985,https://en.wikipedia.org/wiki/D%C3%A9tective_(1985_film),https://en.wikipedia.org/wiki/Jean-Luc_Godard,Détective,1985,Unrated,23 Aug 1985,95 min,"Comedy, Crime, Drama",Jean-Luc Godard,"Alain Sarde (screenplay), Philippe Setbon (screenplay), Jean-Luc Godard (adaptation), Alain Sarde (adaptation), Anne-Marie Miéville (adaptation), Philippe Setbon (adaptation), Alain Sarde (dialogue), Philippe Setbon (dialogue), Anne-Marie Miéville (dialogue)","Laurent Terzieff, Aurelle Doazan, Jean-Pierre Léaud, Nathalie Baye","In a palace of Paris. Two detectives are investigating a two-year-old murder. Emile and Francoise Chenal are putting pressure on Jim Fox Warner, a boxing manager, who owes them a huge amount of money. But Jim also owes money to the Mafia, and it seems the boxing match he is counting on to bail out will not be sufficient...","French, English, Italian","Switzerland, France",2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTYzOGIyZjctM2M0Mi00NDlmLWJiYzgtZmJlZWM4ZDVlZGVjXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,N/A,6.0,"1,446",tt0089066,movie,05 Feb 2008,N/A,Sara Films,N/A,True,6.0/10,91%,N/A,,,
8,Farewell to the Ark,さらば箱舟,Shūji Terayama,Japan,0,cannes,1985,https://en.wikipedia.org/wiki/Farewell_to_the_Ark,https://en.wikipedia.org/wiki/Sh%C5%ABji_Terayama,Farewell to the Ark,1984,N/A,08 Sep 1984,127 min,"Fantasy, Mystery, Romance",Shûji Terayama,"Gabriel García Márquez (novel), Rio Kishida, Shûji Terayama","Tsutomu Yamazaki, Mayumi Ogawa, Yoshio Harada, Yôko Takahashi","A surreal, isolated village sees its inhabitants gradually leave behind their mutual traditions and superstitions as they leave for the city. Among them are two cousins who love each other and who get into a quarrel with other villagers.",Japanese,Japan,7 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BZmFhM2Y0MzYtMjc1MS00NTEwLTkzMjUtNGU3ZTljZjQ2NGFkXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,N/A,7.4,251,tt0088041,movie,N/A,N/A,N/A,N/A,True,7.4/10,N/A,N/A,,,
9,Insignificance,N/A,Nicolas Roeg,United Kingdom,0,cannes,1985,https://en.wikipedia.org/wiki/Insignificance_(film),https://en.wikipedia.org/wiki/Nicolas_Roeg,Insignificance,1985,R,02 Aug 1985,109 min,"Drama, Comedy",Nicolas Roeg,Terry Johnson (screenplay),"Michael Emil, Theresa Russell, Tony Curtis, Gary Busey","Four 1950's cultural icons (Albert Einstein, Marilyn Monroe, Joe DiMaggio and Senator Joseph MacCarthy) who conceivably could have met and probably didn't, fictionally do in this modern fable of post-WWII America. Visually intriguing, the film has a fluid progression of flash-backs and flash-forwards centering on the fictional Einstein's current observations, childhood memories and apprehensions for the future.",English,UK,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BM2MwNTkxNzAtMDcwMy00YjYzLTg4YjItZTY3NTVjNzg2ZmE4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,N/A,6.6,"3,035",tt0089343,movie,13 Jun 2011,N/A,N/A,N/A,True,6.6/10,69%,N/A,,,
